ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-0.335,1.723,9.452,24083,1,34.05,,,,NaN,,,,0 / 0,5,2018-11-20 15:30:25:180
-0.43,1.771,9.203,24931,1,34.05,,,,NaN,,,,0 / 0,105,2018-11-20 15:30:25:280
-0.105,1.312,9.634,25175,1,34.05,,,,NaN,,,,0 / 0,205,2018-11-20 15:30:25:380
-0.545,1.704,8.983,25024,1,28.16,,,,NaN,,,,0 / 0,305,2018-11-20 15:30:25:480
-1.168,1.695,8.734,24788,1,28.16,,,,NaN,,,,0 / 0,405,2018-11-20 15:30:25:580
-2.241,0.928,9.826,25325,1,28.16,,,,NaN,,,,0 / 0,505,2018-11-20 15:30:25:680
-0.948,0.555,8.686,26392,1,28.16,,,,NaN,,,,0 / 0,605,2018-11-20 15:30:25:780
-0.249,0.114,10.372,27473,1,49.22,,,,NaN,,,,0 / 0,705,2018-11-20 15:30:25:880
-0.641,-0.316,8.734,29125,1,49.22,,,,NaN,,,,0 / 0,805,2018-11-20 15:30:25:980
0.325,-2.806,8.696,31100,1,49.22,,,,NaN,,,,0 / 0,905,2018-11-20 15:30:26:080
-2.279,-3.601,8.217,34777,1,49.06,,,,NaN,,,,0 / 0,1006,2018-11-20 15:30:26:181
-0.555,-6.569,9.979,46356,1,49.06,,,,NaN,,,,0 / 0,1105,2018-11-20 15:30:26:280
1.187,-6.828,8.284,59393,1,49.06,,,,NaN,,,,0 / 0,1205,2018-11-20 15:30:26:380
0.335,-7.326,7.47,50558,1,43.94,,,,NaN,,,,0 / 0,1305,2018-11-20 15:30:26:480
1.024,-7.585,8.188,5656,0,43.94,,,,NaN,,,,0 / 0,1405,2018-11-20 15:30:26:580
3.955,-8.13,4.376,7400,0,43.94,,,,NaN,,,,0 / 0,1505,2018-11-20 15:30:26:680
1.331,-10.85,6.387,8719,0,44.1,,,,NaN,,,,0 / 0,1605,2018-11-20 15:30:26:780
0.9,-6.454,11.377,29246,1,44.1,,,,NaN,,,,0 / 0,1705,2018-11-20 15:30:26:880
3.284,-6.34,3.907,58375,1,44.1,,,,NaN,,,,0 / 0,1805,2018-11-20 15:30:26:980
4.472,-7.47,2.988,48041,1,34.85,,,,NaN,,,,0 / 0,1905,2018-11-20 15:30:27:080
5.755,-8.839,3.524,40214,1,34.85,,,,NaN,,,,0 / 0,2005,2018-11-20 15:30:27:180
2.873,-7.575,-2.423,41444,0,34.85,,,,NaN,,,,0 / 0,2105,2018-11-20 15:30:27:280
7.259,-7.853,0.373,3784,0,32.73,,,,NaN,,,,0 / 0,2205,2018-11-20 15:30:27:380
4.664,-4.932,-0.067,1717,0,32.73,,,,NaN,,,,0 / 0,2305,2018-11-20 15:30:27:480
6.598,-9.423,2.059,238,0,32.73,,,,NaN,,,,0 / 0,2406,2018-11-20 15:30:27:581
6.78,-6.723,1.455,239,0,33.83,,,,NaN,,,,0 / 0,2506,2018-11-20 15:30:27:681
5.573,-8.15,0.948,243,0,33.83,,,,NaN,,,,0 / 0,2606,2018-11-20 15:30:27:781
6.263,-8.111,1.58,255,0,33.83,,,,NaN,,,,0 / 0,2706,2018-11-20 15:30:27:881
5.209,-7.69,1.714,281,0,37.5,,,,NaN,,,,0 / 0,2806,2018-11-20 15:30:27:981
6.33,-9.069,1.13,324,0,37.5,,,,NaN,,,,0 / 0,2906,2018-11-20 15:30:28:081
2.739,-6.838,1.245,336,0,37.5,,,,NaN,,,,0 / 0,3006,2018-11-20 15:30:28:181
2.786,-9.557,0.344,353,0,37.5,,,,NaN,,,,0 / 0,3106,2018-11-20 15:30:28:281
5.669,-14.739,1.197,285,0,28.85,,,,NaN,,,,0 / 0,3205,2018-11-20 15:30:28:380
-0.536,-11.166,1.043,286,0,28.85,,,,NaN,,,,0 / 0,3305,2018-11-20 15:30:28:480
-0.66,-9.059,-0.229,296,0,28.85,,,,NaN,,,,0 / 0,3406,2018-11-20 15:30:28:581
-0.622,-9.874,0.095,294,0,42.86,,,,NaN,,,,0 / 0,3505,2018-11-20 15:30:28:680
-0.363,-9.443,0.277,288,0,42.86,,,,NaN,,,,0 / 0,3606,2018-11-20 15:30:28:781
0.861,-10.506,-0.229,269,0,42.86,,,,NaN,,,,0 / 0,3706,2018-11-20 15:30:28:881
-0.268,-9.577,-0.114,278,0,59.32,,,,NaN,,,,0 / 0,3806,2018-11-20 15:30:28:981
-0.124,-9.807,0.565,266,0,59.32,,,,NaN,,,,0 / 0,3906,2018-11-20 15:30:29:081
1.312,-10.094,0.181,259,0,59.32,,,,NaN,,,,0 / 0,4006,2018-11-20 15:30:29:181
-1.139,-9.059,-0.143,269,0,53.49,,,,NaN,,,,0 / 0,4106,2018-11-20 15:30:29:281
1.072,-10.812,0.45,278,0,53.49,,,,NaN,,,,0 / 0,4206,2018-11-20 15:30:29:381
-1.206,-9.27,0.699,288,0,53.49,,,,NaN,,,,0 / 0,4306,2018-11-20 15:30:29:481
-2.94,-13.57,3.553,361,0,43.19,,,,NaN,,,,0 / 0,4406,2018-11-20 15:30:29:581
-3.342,-6.416,-0.354,371,0,43.19,,,,NaN,,,,0 / 0,4506,2018-11-20 15:30:29:681
-2.154,-8.198,3.399,366,0,43.19,,,,NaN,,,,0 / 0,4606,2018-11-20 15:30:29:781
-1.043,-9.462,3.811,401,0,42.47,,,,NaN,,,,0 / 0,4706,2018-11-20 15:30:29:881
-1.11,-10.573,3.332,403,0,42.47,,,,NaN,,,,0 / 0,4805,2018-11-20 15:30:29:980
-1.283,-9.328,-1.426,412,0,42.47,,,,NaN,,,,0 / 0,4905,2018-11-20 15:30:30:080
-1.752,-10.18,-0.383,402,0,37.8,,,,NaN,,,,0 / 0,5005,2018-11-20 15:30:30:180
-1.426,-10.17,1.091,406,0,37.8,,,,NaN,,,,0 / 0,5106,2018-11-20 15:30:30:281
-1.733,-9.711,0.66,400,0,37.8,,,,NaN,,,,0 / 0,5206,2018-11-20 15:30:30:381
-1.072,-9.136,1.465,412,0,37.8,,,,NaN,,,,0 / 0,5305,2018-11-20 15:30:30:480
-1.417,-8.284,3.007,430,0,44.95,,,,NaN,,,,0 / 0,5405,2018-11-20 15:30:30:580
-1.723,-7.652,4.395,413,0,44.95,,,,NaN,,,,0 / 0,5505,2018-11-20 15:30:30:680
-1.197,-8.772,4.558,399,0,44.95,,,,NaN,,,,0 / 0,5605,2018-11-20 15:30:30:780
-2.691,-6.627,6.665,379,0,45.99,,,,NaN,,,,0 / 0,5705,2018-11-20 15:30:30:880
-1.666,-6.215,7.431,392,0,45.99,,,,NaN,,,,0 / 0,5806,2018-11-20 15:30:30:981
2.011,-8.533,5.669,363,0,45.99,,,,NaN,,,,0 / 0,5906,2018-11-20 15:30:31:081
0.584,-7.834,6.522,363,0,40.71,,,,NaN,,,,0 / 0,6006,2018-11-20 15:30:31:181
-1.35,-6.215,7.345,364,0,40.71,,,,NaN,,,,0 / 0,6106,2018-11-20 15:30:31:281
-0.881,-4.185,7.814,349,0,40.71,,,,NaN,,,,0 / 0,6206,2018-11-20 15:30:31:381
-2.403,-1.072,8.59,306,1,57.14,,,,NaN,,,,0 / 0,6305,2018-11-20 15:30:31:480
-0.43,-1.723,11.435,187,1,57.14,,,,NaN,,,,0 / 0,6406,2018-11-20 15:30:31:581
-0.967,-0.009,11.712,171,1,57.14,,,,NaN,,,,0 / 0,6506,2018-11-20 15:30:31:681
-1.388,-0.009,13.235,172,1,65.19,,,,NaN,,,,0 / 0,6606,2018-11-20 15:30:31:781
-0.737,-1.369,13.599,166,1,65.19,,,,NaN,,,,0 / 0,6706,2018-11-20 15:30:31:881
-0.632,-2.336,11.291,191,1,65.19,,,,NaN,,,,0 / 0,6805,2018-11-20 15:30:31:980
-0.928,-2.834,9.625,236,1,57.2,,,,NaN,,,,0 / 0,6905,2018-11-20 15:30:32:080
-1.551,-4.97,7.738,284,1,57.2,,,,NaN,,,,0 / 0,7005,2018-11-20 15:30:32:180
-2.135,-7.01,5.736,331,1,57.2,,,,NaN,,,,0 / 0,7106,2018-11-20 15:30:32:281
-1.407,-6.972,4.213,369,1,54.59,,,,NaN,,,,0 / 0,7205,2018-11-20 15:30:32:380
-1.12,-7.949,2.164,383,1,54.59,,,,NaN,,,,0 / 0,7305,2018-11-20 15:30:32:480
-2.346,-9.404,2.346,352,1,54.59,,,,NaN,,,,0 / 0,7405,2018-11-20 15:30:32:580
-1.407,-9.682,0.383,333,1,54.59,,,,NaN,,,,0 / 0,7505,2018-11-20 15:30:32:680
-2.25,-10.419,1.35,328,1,47.43,,,,NaN,,,,0 / 0,7605,2018-11-20 15:30:32:780
-2.94,-11.08,1.235,336,1,47.43,,,,NaN,,,,0 / 0,7705,2018-11-20 15:30:32:880
-2.068,-9.356,2.001,335,1,47.43,,,,NaN,,,,0 / 0,7805,2018-11-20 15:30:32:980
-2.394,-7.546,0.632,351,1,48.13,,,,NaN,,,,0 / 0,7906,2018-11-20 15:30:33:081
-1.81,-7.814,4.089,366,1,48.13,,,,NaN,,,,0 / 0,8005,2018-11-20 15:30:33:180
-1.13,-6.589,7.441,343,1,48.13,,,,NaN,,,,0 / 0,8105,2018-11-20 15:30:33:280
-2.068,-4.06,7.211,291,1,40.35,,,,NaN,,,,0 / 0,8205,2018-11-20 15:30:33:380
-0.986,-4.386,8.159,265,1,40.35,,,,NaN,,,,0 / 0,8305,2018-11-20 15:30:33:480
-1.465,-3.294,9.27,264,1,40.35,,,,NaN,,,,0 / 0,8405,2018-11-20 15:30:33:580
-2.001,-2.614,10.486,232,1,48.93,,,,NaN,,,,0 / 0,8505,2018-11-20 15:30:33:680
-1.053,-2.011,11.664,229,1,48.93,,,,NaN,,,,0 / 0,8606,2018-11-20 15:30:33:781
-1.35,-1.877,12.565,212,1,48.93,,,,NaN,,,,0 / 0,8706,2018-11-20 15:30:33:881
-0.526,-2.681,11.607,219,1,59.32,,,,NaN,,,,0 / 0,8806,2018-11-20 15:30:33:981
-1.168,-3.026,9.682,252,1,59.32,,,,NaN,,,,0 / 0,8906,2018-11-20 15:30:34:081
-1.043,-4.156,8.437,261,1,59.32,,,,NaN,,,,0 / 0,9006,2018-11-20 15:30:34:181
-1.848,-5.842,7.489,295,1,56.64,,,,NaN,,,,0 / 0,9105,2018-11-20 15:30:34:280
-1.81,-7.326,5.095,334,1,56.64,,,,NaN,,,,0 / 0,9206,2018-11-20 15:30:34:381
-2.135,-7.786,3.007,366,1,56.64,,,,NaN,,,,0 / 0,9306,2018-11-20 15:30:34:481
-1.656,-7.834,2.662,367,1,50.24,,,,NaN,,,,0 / 0,9405,2018-11-20 15:30:34:580
-2.365,-10.056,2.135,333,1,50.24,,,,NaN,,,,0 / 0,9506,2018-11-20 15:30:34:681
-1.608,-9.529,-0.076,331,1,50.24,,,,NaN,,,,0 / 0,9606,2018-11-20 15:30:34:781
-2.269,-9.816,0.679,317,1,50.24,,,,NaN,,,,0 / 0,9705,2018-11-20 15:30:34:880
-1.992,-9.797,0.861,295,1,45.16,,,,NaN,,,,0 / 0,9805,2018-11-20 15:30:34:980
-2.078,-9.615,0.526,299,1,45.16,,,,NaN,,,,0 / 0,9905,2018-11-20 15:30:35:080
-2.241,-9.146,2.815,309,1,45.16,,,,NaN,,,,0 / 0,10006,2018-11-20 15:30:35:181
-2.288,-8.542,3.735,340,1,52.8,,,,NaN,,,,0 / 0,10105,2018-11-20 15:30:35:280
-2.336,-8.284,4.405,386,1,52.8,,,,NaN,,,,0 / 0,10205,2018-11-20 15:30:35:380
-1.292,-6.435,6.684,357,1,52.8,,,,NaN,,,,0 / 0,10305,2018-11-20 15:30:35:480
-1.12,-4.884,5.717,331,1,40.57,,,,NaN,,,,0 / 0,10405,2018-11-20 15:30:35:580
-2.499,-4.913,8.437,296,1,40.57,,,,NaN,,,,0 / 0,10506,2018-11-20 15:30:35:681
-0.756,-4.089,8.983,264,1,40.57,,,,NaN,,,,0 / 0,10606,2018-11-20 15:30:35:781
-1.743,-3.361,9.979,209,1,53.63,,,,NaN,,,,0 / 0,10706,2018-11-20 15:30:35:881
-1.992,-3.246,10.86,216,1,53.63,,,,NaN,,,,0 / 0,10805,2018-11-20 15:30:35:980
-2.049,-3.371,11.511,200,1,53.63,,,,NaN,,,,0 / 0,10905,2018-11-20 15:30:36:080
-1.857,-3.457,10.755,205,1,60.25,,,,NaN,,,,0 / 0,11005,2018-11-20 15:30:36:180
-1.829,-4.127,9.059,215,1,60.25,,,,NaN,,,,0 / 0,11105,2018-11-20 15:30:36:280
-1.762,-5.363,7.853,285,1,60.25,,,,NaN,,,,0 / 0,11205,2018-11-20 15:30:36:380
-1.532,-6.972,6.435,318,1,60.25,,,,NaN,,,,0 / 0,11305,2018-11-20 15:30:36:480
-2.078,-7.23,5.564,353,1,48.17,,,,NaN,,,,0 / 0,11405,2018-11-20 15:30:36:580
-1.446,-7.996,3.945,366,1,48.17,,,,NaN,,,,0 / 0,11505,2018-11-20 15:30:36:680
-2.106,-8.245,2.585,384,1,48.17,,,,NaN,,,,0 / 0,11605,2018-11-20 15:30:36:780
-2.729,-9.28,1.417,347,1,49.9,,,,NaN,,,,0 / 0,11705,2018-11-20 15:30:36:880
-2.442,-10.276,1.101,309,1,49.9,,,,NaN,,,,0 / 0,11806,2018-11-20 15:30:36:981
-2.327,-9.787,-0.469,316,1,49.9,,,,NaN,,,,0 / 0,11906,2018-11-20 15:30:37:081
-1.925,-9.625,0.268,314,1,43.15,,,,NaN,,,,0 / 0,12006,2018-11-20 15:30:37:181
-2.106,-9.625,0.191,311,1,43.15,,,,NaN,,,,0 / 0,12106,2018-11-20 15:30:37:281
-1.676,-9.146,1.494,328,1,43.15,,,,NaN,,,,0 / 0,12206,2018-11-20 15:30:37:381
-1.934,-8.571,1.331,348,1,41.89,,,,NaN,,,,0 / 0,12305,2018-11-20 15:30:37:480
-2.039,-8.514,3.639,382,1,41.89,,,,NaN,,,,0 / 0,12405,2018-11-20 15:30:37:580
-2.432,-8.6,4.089,375,1,41.89,,,,NaN,,,,0 / 0,12505,2018-11-20 15:30:37:680
-2.001,-7.096,7.412,350,1,41.89,,,,NaN,,,,0 / 0,12605,2018-11-20 15:30:37:780
-1.819,-5.334,7.987,340,1,40.96,,,,NaN,,,,0 / 0,12705,2018-11-20 15:30:37:880
-1.091,-3.945,7.671,266,1,40.96,,,,NaN,,,,0 / 0,12805,2018-11-20 15:30:37:980
-1.57,-3.715,8.868,247,1,40.96,,,,NaN,,,,0 / 0,12906,2018-11-20 15:30:38:081
-1.168,-2.633,9.203,226,1,56.4,,,,NaN,,,,0 / 0,13006,2018-11-20 15:30:38:181
-2.269,-2.748,11.406,199,1,56.4,,,,NaN,,,,0 / 0,13106,2018-11-20 15:30:38:281
-2.327,-3.332,11.952,179,1,56.4,,,,NaN,,,,0 / 0,13206,2018-11-20 15:30:38:381
-2.241,-3.715,10.783,230,1,56.59,,,,NaN,,,,0 / 0,13306,2018-11-20 15:30:38:481
-1.503,-3.409,9.289,220,1,56.59,,,,NaN,,,,0 / 0,13406,2018-11-20 15:30:38:581
-1.494,-4.97,7.824,269,1,56.59,,,,NaN,,,,0 / 0,13505,2018-11-20 15:30:38:680
-2.126,-6.79,6.129,311,1,56.17,,,,NaN,,,,0 / 0,13605,2018-11-20 15:30:38:780
-1.743,-7.326,5.545,350,1,56.17,,,,NaN,,,,0 / 0,13705,2018-11-20 15:30:38:880
-2.461,-8.514,3.198,351,1,56.17,,,,NaN,,,,0 / 0,13805,2018-11-20 15:30:38:980
-1.695,-8.619,1.494,360,1,56.17,,,,NaN,,,,0 / 0,13906,2018-11-20 15:30:39:081
-3.955,-9.596,1.005,313,1,55.47,,,,NaN,,,,0 / 0,14006,2018-11-20 15:30:39:181
-1.551,-9.893,-0.009,303,1,55.47,,,,NaN,,,,0 / 0,14106,2018-11-20 15:30:39:281
-2.7,-10.199,0.833,300,1,55.47,,,,NaN,,,,0 / 0,14205,2018-11-20 15:30:39:380
-2.135,-9.49,0.229,291,1,48.79,,,,NaN,,,,0 / 0,14305,2018-11-20 15:30:39:480
-2.097,-8.906,1.57,314,1,48.79,,,,NaN,,,,0 / 0,14405,2018-11-20 15:30:39:580
-3.15,-9.807,3.399,322,1,48.79,,,,NaN,,,,0 / 0,14506,2018-11-20 15:30:39:681
-2.739,-8.533,1.465,321,1,48.77,,,,NaN,,,,0 / 0,14606,2018-11-20 15:30:39:781
-2.7,-8.255,4.204,368,1,48.77,,,,NaN,,,,0 / 0,14706,2018-11-20 15:30:39:881
-2.097,-7.719,5.181,386,1,48.77,,,,NaN,,,,0 / 0,14806,2018-11-20 15:30:39:981
-1.484,-6.933,6.445,379,1,45.48,,,,NaN,,,,0 / 0,14905,2018-11-20 15:30:40:080
-1.302,-6.33,7.422,361,1,45.48,,,,NaN,,,,0 / 0,15005,2018-11-20 15:30:40:180
-0.909,-4.788,7.853,333,1,45.48,,,,NaN,,,,0 / 0,15105,2018-11-20 15:30:40:280
-2.815,-3.409,8.638,270,1,52.27,,,,NaN,,,,0 / 0,15205,2018-11-20 15:30:40:380
-1.063,-3.39,9.529,207,1,52.27,,,,NaN,,,,0 / 0,15306,2018-11-20 15:30:40:481
-0.938,-2.863,11.281,202,1,52.27,,,,NaN,,,,0 / 0,15406,2018-11-20 15:30:40:581
-1.953,-2.719,12.191,178,1,57.29,,,,NaN,,,,0 / 0,15506,2018-11-20 15:30:40:681
-1.513,-2.968,11.301,199,1,57.29,,,,NaN,,,,0 / 0,15606,2018-11-20 15:30:40:781
-1.992,-3.782,9.232,218,1,57.29,,,,NaN,,,,0 / 0,15705,2018-11-20 15:30:40:880
-1.963,-4.807,7.767,248,1,55.21,,,,NaN,,,,0 / 0,15805,2018-11-20 15:30:40:980
-2.078,-5.564,7.039,317,1,55.21,,,,NaN,,,,0 / 0,15905,2018-11-20 15:30:41:080
-1.781,-6.866,5.736,368,1,55.21,,,,NaN,,,,0 / 0,16005,2018-11-20 15:30:41:180
-2.403,-8.083,2.652,388,1,55.21,,,,NaN,,,,0 / 0,16105,2018-11-20 15:30:41:280
-2.068,-7.776,1.494,350,1,54.74,,,,NaN,,,,0 / 0,16205,2018-11-20 15:30:41:380
-2.48,-10.199,2.49,305,1,54.74,,,,NaN,,,,0 / 0,16305,2018-11-20 15:30:41:480
-2.777,-9.51,0.708,291,1,54.74,,,,NaN,,,,0 / 0,16405,2018-11-20 15:30:41:580
-2.394,-9.816,0.766,302,1,52.6,,,,NaN,,,,0 / 0,16505,2018-11-20 15:30:41:680
-1.762,-9.395,-0.019,309,1,52.6,,,,NaN,,,,0 / 0,16605,2018-11-20 15:30:41:780
-2.403,-9.414,1.063,312,1,52.6,,,,NaN,,,,0 / 0,16705,2018-11-20 15:30:41:880
-2.202,-8.705,3.466,333,1,44.71,,,,NaN,,,,0 / 0,16806,2018-11-20 15:30:41:981
-2.02,-8.274,5.219,346,1,44.71,,,,NaN,,,,0 / 0,16906,2018-11-20 15:30:42:081
-3.466,-7.814,4.893,377,1,44.71,,,,NaN,,,,0 / 0,17006,2018-11-20 15:30:42:181
-3.687,-7.383,6.636,375,1,52.62,,,,NaN,,,,0 / 0,17107,2018-11-20 15:30:42:282
-2.375,-6.627,7.288,366,1,52.62,,,,NaN,,,,0 / 0,17206,2018-11-20 15:30:42:381
-2.327,-4.711,7.757,344,1,52.62,,,,NaN,,,,0 / 0,17305,2018-11-20 15:30:42:480
-0.804,-4.395,8.437,267,1,53.31,,,,NaN,,,,0 / 0,17406,2018-11-20 15:30:42:581
-1.082,-3.792,9.127,236,1,53.31,,,,NaN,,,,0 / 0,17506,2018-11-20 15:30:42:681
-1.877,-3.284,10.046,210,1,53.31,,,,NaN,,,,0 / 0,17606,2018-11-20 15:30:42:781
-1.925,-3.735,11.415,186,1,58.32,,,,NaN,,,,0 / 0,17705,2018-11-20 15:30:42:880
-2.308,-3.399,10.582,197,1,58.32,,,,NaN,,,,0 / 0,17805,2018-11-20 15:30:42:980
-1.953,-3.572,9.605,224,1,58.32,,,,NaN,,,,0 / 0,17905,2018-11-20 15:30:43:080
-2.116,-4.089,8.715,264,1,58.91,,,,NaN,,,,0 / 0,18006,2018-11-20 15:30:43:181
-2.413,-6.11,8.293,300,1,58.91,,,,NaN,,,,0 / 0,18106,2018-11-20 15:30:43:281
-2.758,-6.905,6.234,334,1,58.91,,,,NaN,,,,0 / 0,18205,2018-11-20 15:30:43:380
-2.892,-8.111,3.486,364,1,58.91,,,,NaN,,,,0 / 0,18305,2018-11-20 15:30:43:480
-2.384,-7.594,2.288,379,1,53.46,,,,NaN,,,,0 / 0,18405,2018-11-20 15:30:43:580
-2.26,-9.241,2.499,324,1,53.46,,,,NaN,,,,0 / 0,18505,2018-11-20 15:30:43:680
-3.055,-10.036,0.871,322,1,53.46,,,,NaN,,,,0 / 0,18605,2018-11-20 15:30:43:780
-2.748,-9.883,0.258,327,1,48.51,,,,NaN,,,,0 / 0,18705,2018-11-20 15:30:43:880
-2.499,-9.701,0.555,314,1,48.51,,,,NaN,,,,0 / 0,18805,2018-11-20 15:30:43:980
-2.432,-9.692,0.708,313,1,48.51,,,,NaN,,,,0 / 0,18906,2018-11-20 15:30:44:081
-2.834,-8.265,1.35,344,1,47.08,,,,NaN,,,,0 / 0,19006,2018-11-20 15:30:44:181
-0.612,-7.623,3.476,361,1,47.08,,,,NaN,,,,0 / 0,19105,2018-11-20 15:30:44:280
-2.365,-7.843,4.357,354,1,47.08,,,,NaN,,,,0 / 0,19205,2018-11-20 15:30:44:380
-2.001,-7.403,5.669,379,1,37.43,,,,NaN,,,,0 / 0,19305,2018-11-20 15:30:44:480
-2.097,-6.732,7.316,339,1,37.43,,,,NaN,,,,0 / 0,19405,2018-11-20 15:30:44:580
-1.733,-5.056,8.035,285,1,37.43,,,,NaN,,,,0 / 0,19505,2018-11-20 15:30:44:680
-1.58,-4.06,9.605,254,1,52.28,,,,NaN,,,,0 / 0,19605,2018-11-20 15:30:44:780
-1.57,-2.729,9.308,235,1,52.28,,,,NaN,,,,0 / 0,19705,2018-11-20 15:30:44:880
-2.557,-2.7,10.85,213,1,52.28,,,,NaN,,,,0 / 0,19806,2018-11-20 15:30:44:981
-2.355,-2.71,12.249,200,1,55.95,,,,NaN,,,,0 / 0,19905,2018-11-20 15:30:45:080
-1.771,-2.566,11.741,198,1,55.95,,,,NaN,,,,0 / 0,20006,2018-11-20 15:30:45:181
-1.024,-2.767,9.826,218,1,55.95,,,,NaN,,,,0 / 0,20105,2018-11-20 15:30:45:280
-1.733,-3.917,7.853,241,1,57.21,,,,NaN,,,,0 / 0,20206,2018-11-20 15:30:45:381
-2.413,-5.114,7.077,284,1,57.21,,,,NaN,,,,0 / 0,20305,2018-11-20 15:30:45:480
-2.394,-7.451,5.612,315,1,57.21,,,,NaN,,,,0 / 0,20406,2018-11-20 15:30:45:581
-2.461,-8.169,3.352,329,1,57.21,,,,NaN,,,,0 / 0,20506,2018-11-20 15:30:45:681
-2.087,-7.585,2.528,327,1,55.23,,,,NaN,,,,0 / 0,20606,2018-11-20 15:30:45:781
-3.352,-9.328,1.867,300,1,55.23,,,,NaN,,,,0 / 0,20706,2018-11-20 15:30:45:881
-1.925,-10.649,1.637,272,1,55.23,,,,NaN,,,,0 / 0,20806,2018-11-20 15:30:45:981
-2.892,-9.653,-0.086,268,1,49.57,,,,NaN,,,,0 / 0,20905,2018-11-20 15:30:46:080
-1.235,-8.964,-0.114,281,1,49.57,,,,NaN,,,,0 / 0,21005,2018-11-20 15:30:46:180
-2.308,-9.385,0.871,269,1,49.57,,,,NaN,,,,0 / 0,21105,2018-11-20 15:30:46:280
-2.643,-9.902,3.447,287,1,44.27,,,,NaN,,,,0 / 0,21206,2018-11-20 15:30:46:381
-1.704,-8.743,4.204,295,1,44.27,,,,NaN,,,,0 / 0,21306,2018-11-20 15:30:46:481
-0.565,-6.617,4.625,301,1,44.27,,,,NaN,,,,0 / 0,21405,2018-11-20 15:30:46:580
-2.48,-6.866,6.387,321,1,41.67,,,,NaN,,,,0 / 0,21505,2018-11-20 15:30:46:680
-2.461,-4.721,7.7,317,1,41.67,,,,NaN,,,,0 / 0,21606,2018-11-20 15:30:46:781
-1.35,-4.817,8.217,287,1,41.67,,,,NaN,,,,0 / 0,21706,2018-11-20 15:30:46:881
-1.58,-3.112,9.519,276,1,45.58,,,,NaN,,,,0 / 0,21805,2018-11-20 15:30:46:980
-1.446,-2.327,10.046,253,1,45.58,,,,NaN,,,,0 / 0,21906,2018-11-20 15:30:47:081
-2.106,-2.26,11.664,216,1,45.58,,,,NaN,,,,0 / 0,22006,2018-11-20 15:30:47:181
-2.183,-2.25,12.316,223,1,57.41,,,,NaN,,,,0 / 0,22106,2018-11-20 15:30:47:281
-2.174,-2.662,10.898,225,1,57.41,,,,NaN,,,,0 / 0,22205,2018-11-20 15:30:47:380
-1.867,-3.744,9.107,249,1,57.41,,,,NaN,,,,0 / 0,22306,2018-11-20 15:30:47:481
-1.312,-4.395,7.259,274,1,51.74,,,,NaN,,,,0 / 0,22406,2018-11-20 15:30:47:581
-2.748,-6.627,6.78,308,1,51.74,,,,NaN,,,,0 / 0,22505,2018-11-20 15:30:47:680
-2.365,-7.853,4.577,309,1,51.74,,,,NaN,,,,0 / 0,22605,2018-11-20 15:30:47:780
-2.777,-7.489,2.633,282,1,51.74,,,,NaN,,,,0 / 0,22705,2018-11-20 15:30:47:880
-1.695,-9.395,2.308,272,1,56.83,,,,NaN,,,,0 / 0,22806,2018-11-20 15:30:47:981
-3.189,-9.787,0.861,250,1,56.83,,,,NaN,,,,0 / 0,22906,2018-11-20 15:30:48:081
-2.394,-9.845,1.235,264,1,56.83,,,,NaN,,,,0 / 0,23006,2018-11-20 15:30:48:181
-4.405,-11.329,0.785,261,1,58.92,,,,NaN,,,,0 / 0,23105,2018-11-20 15:30:48:280
-3.668,-10.439,0.967,272,1,58.92,,,,NaN,,,,0 / 0,23205,2018-11-20 15:30:48:380
-2.901,-9.376,2.231,279,1,58.92,,,,NaN,,,,0 / 0,23305,2018-11-20 15:30:48:480
-2.298,-9.222,3.476,298,1,46.52,,,,NaN,,,,0 / 0,23405,2018-11-20 15:30:48:580
-1.369,-7.69,2.815,291,1,46.52,,,,NaN,,,,0 / 0,23506,2018-11-20 15:30:48:681
-3.457,-7.623,5.248,298,1,46.52,,,,NaN,,,,0 / 0,23606,2018-11-20 15:30:48:781
-2.758,-6.493,7.757,278,1,46.84,,,,NaN,,,,0 / 0,23706,2018-11-20 15:30:48:881
-1.992,-5.095,8.169,254,1,46.84,,,,NaN,,,,0 / 0,23805,2018-11-20 15:30:48:980
-1.905,-4.769,9.203,246,1,46.84,,,,NaN,,,,0 / 0,23905,2018-11-20 15:30:49:080
-1.273,-3.16,9.864,207,1,59.37,,,,NaN,,,,0 / 0,24005,2018-11-20 15:30:49:180
-1.407,-2.7,10.946,178,1,59.37,,,,NaN,,,,0 / 0,24105,2018-11-20 15:30:49:280
-2.049,-3.648,11.147,176,1,59.37,,,,NaN,,,,0 / 0,24205,2018-11-20 15:30:49:380
-2.231,-3.457,10.659,171,1,56.37,,,,NaN,,,,0 / 0,24305,2018-11-20 15:30:49:480
-2.164,-4.146,9.184,204,1,56.37,,,,NaN,,,,0 / 0,24405,2018-11-20 15:30:49:580
-2.087,-4.759,7.546,223,1,56.37,,,,NaN,,,,0 / 0,24505,2018-11-20 15:30:49:680
